File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/831.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_25
Injection Number	54
Position	RE4
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	03:05:15
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-113.267702
Signal Max.	15.523708
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.070667	0.25	-112.430790
2.074833	0.25	-112.440170
2.079000	0.25	-112.437299
2.083167	0.25	-112.432006
2.087333	0.25	-112.449479
2.091500	0.25	-112.437620
2.095667	0.25	-112.440232
2.099833	0.25	-112.434998
2.104000	0.25	-112.450255
2.108167	0.25	-112.436785
2.112333	0.25	-112.440135
2.116500	0.25	-112.438851
2.120667	0.25	-112.436132
2.124833	0.25	-112.440280
2.129000	0.25	-112.432206
2.133167	0.25	-112.421151
2.137333	0.25	-112.418021
2.141500	0.25	-112.418810
2.145667	0.25	-112.421107
2.149833	0.25	-112.409358
2.154000	0.25	-112.409431
2.158167	0.25	-112.409375
2.162333	0.25	-112.409842
2.166500	0.25	-112.418301
2.170667	0.25	-112.407932
2.174833	0.25	-112.404371
2.179000	0.25	-112.410525
2.183167	0.25	-112.413814
2.187333	0.25	-112.405637
2.191500	0.25	-112.414915
2.195667	0.25	-112.421742
2.199833	0.25	-112.417438
2.204000	0.25	-112.424195
2.208167	0.25	-112.425003
2.212333	0.25	-112.428488
2.216500	0.25	-112.426406
2.220667	0.25	-112.427152
2.224833	0.25	-112.436432
2.229000	0.25	-112.435835
2.233167	0.25	-112.433019
2.237333	0.25	-112.431991
2.241500	0.25	-112.441481
2.245667	0.25	-112.429234
2.249833	0.25	-112.447805
2.254000	0.25	-112.440621
2.258167	0.25	-112.439525
2.262333	0.25	-112.439325
2.266500	0.25	-112.455240
2.270667	0.25	-112.437104
2.274833	0.25	-112.436058
2.279000	0.25	-112.438364
2.283167	0.25	-112.438698
2.287333	0.25	-112.429225
2.291500	0.25	-112.433452
2.295667	0.25	-112.431115
2.299833	0.25	-112.427935
2.304000	0.25	-112.425048
2.308167	0.25	-112.426748
2.312333	0.25	-112.423531
2.316500	0.25	-112.422237
2.320667	0.25	-112.419725
2.324833	0.25	-112.410412
2.329000	0.25	-112.411808
2.333167	0.25	-112.412353
2.337333	0.25	-112.412365
2.341500	0.25	-112.399349
2.345667	0.25	-112.404448
2.349833	0.25	-112.402011
2.354000	0.25	-112.409760
2.358167	0.25	-112.406449
2.362333	0.25	-112.398638
2.366500	0.25	-112.397207
2.370667	0.25	-112.398860
2.374833	0.25	-112.388910
2.379000	0.25	-112.396094
2.383167	0.25	-112.380934
2.387333	0.25	-112.381936
2.391500	0.25	-112.362481
2.395667	0.25	-112.346129
2.399833	0.25	-112.327917
2.404000	0.25	-112.307947
2.408167	0.25	-112.271523
2.412333	0.25	-112.221775
2.416500	0.25	-112.167286
2.420667	0.25	-112.117129
2.424833	0.25	-112.054007
2.429000	0.25	-111.998053
2.433167	0.25	-111.916120
2.437333	0.25	-111.853939
2.441500	0.25	-111.790349
2.445667	0.25	-111.725562
2.449833	0.25	-111.673972
2.454000	0.25	-111.638297
2.458167	0.25	-111.608325
2.462333	0.25	-111.599112
2.466500	0.25	-111.598718
2.470667	0.25	-111.609823
2.474833	0.25	-111.637500
2.479000	0.25	-111.660659
2.483167	0.25	-111.705146
2.487333	0.25	-111.757438
2.491500	0.25	-111.793098
2.495667	0.25	-111.852561
2.499833	0.25	-111.899854
2.504000	0.25	-111.951470
2.508167	0.25	-111.998209
2.512333	0.25	-112.045719
2.516500	0.25	-112.080018
2.520667	0.25	-112.122497
2.524833	0.25	-112.149026
2.529000	0.25	-112.177221
2.533167	0.25	-112.197063
2.537333	0.25	-112.207996
2.541500	0.25	-112.216243
2.545667	0.25	-112.233345
2.549833	0.25	-112.237003
2.554000	0.25	-112.244501
2.558167	0.25	-112.245736
2.562333	0.25	-112.252561
2.566500	0.25	-112.258081
2.570667	0.25	-112.250113
2.574833	0.25	-112.248636
2.579000	0.25	-112.252081
2.583167	0.25	-112.256636
2.587333	0.25	-112.246584
2.591500	0.25	-112.264570
2.595667	0.25	-112.257646
2.599833	0.25	-112.271146
2.604000	0.25	-112.265572
2.608167	0.25	-112.252839
2.612333	0.25	-112.245987
2.616500	0.25	-112.251546
2.620667	0.25	-112.231464
2.624833	0.25	-112.214356
2.629000	0.25	-112.188346
2.633167	0.25	-112.166226
2.637333	0.25	-112.137274
2.641500	0.25	-112.076622
2.645667	0.25	-112.008964
2.649833	0.25	-111.936241
2.654000	0.25	-111.840166
2.658167	0.25	-111.735659
2.662333	0.25	-111.621231
2.666500	0.25	-111.485410
2.670667	0.25	-111.348175
2.674833	0.25	-111.189051
2.679000	0.25	-111.035196
2.683167	0.25	-110.884757
2.687333	0.25	-110.734078
2.691500	0.25	-110.595572
2.695667	0.25	-110.471755
2.699833	0.25	-110.367668
2.704000	0.25	-110.277286
2.708167	0.25	-110.231625
2.712333	0.25	-110.208752
2.716500	0.25	-110.202322
2.720667	0.25	-110.235404
2.724833	0.25	-110.292524
2.729000	0.25	-110.377883
2.733167	0.25	-110.468012
2.737333	0.25	-110.577447
2.741500	0.25	-110.697346
2.745667	0.25	-110.833109
2.749833	0.25	-110.959684
2.754000	0.25	-111.103162
2.758167	0.25	-111.226092
2.762333	0.25	-111.349842
2.766500	0.25	-111.470059
2.770667	0.25	-111.576860
2.774833	0.25	-111.667777
2.779000	0.25	-111.765668
2.783167	0.25	-111.833667
2.787333	0.25	-111.897199
2.791500	0.25	-111.947676
2.795667	0.25	-111.992708
2.799833	0.25	-112.032289
2.804000	0.25	-112.051537
2.808167	0.25	-112.077641
