File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/465.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_74
Injection Number	73
Position	RF12
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	14:29:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-111.987030
Signal Max.	-11.722266
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.558167	0.25	-110.925701
2.562333	0.25	-110.936018
2.566500	0.25	-110.928939
2.570667	0.25	-110.930741
2.574833	0.25	-110.927100
2.579000	0.25	-110.922118
2.583167	0.25	-110.920594
2.587333	0.25	-110.917775
2.591500	0.25	-110.916040
2.595667	0.25	-110.909994
2.599833	0.25	-110.893056
2.604000	0.25	-110.887083
2.608167	0.25	-110.875786
2.612333	0.25	-110.849683
2.616500	0.25	-110.831135
2.620667	0.25	-110.795108
2.624833	0.25	-110.766014
2.629000	0.25	-110.718256
2.633167	0.25	-110.655855
2.637333	0.25	-110.578153
2.641500	0.25	-110.496186
2.645667	0.25	-110.407540
2.649833	0.25	-110.299374
2.654000	0.25	-110.173466
2.658167	0.25	-110.049177
2.662333	0.25	-109.917601
2.666500	0.25	-109.802669
2.670667	0.25	-109.665550
2.674833	0.25	-109.527161
2.679000	0.25	-109.408218
2.683167	0.25	-109.294723
2.687333	0.25	-109.212708
2.691500	0.25	-109.136141
2.695667	0.25	-109.093464
2.699833	0.25	-109.067004
2.704000	0.25	-109.044744
2.708167	0.25	-109.056133
2.712333	0.25	-109.106551
2.716500	0.25	-109.166603
2.720667	0.25	-109.248592
2.724833	0.25	-109.344046
2.729000	0.25	-109.444465
2.733167	0.25	-109.550078
2.737333	0.25	-109.675348
2.741500	0.25	-109.790933
2.745667	0.25	-109.909814
2.749833	0.25	-110.023799
