File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_45
Injection Number	39
Position	RD1
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	18:04:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-115.475875
Signal Max.	-6.279632
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.829000	0.25	-111.600324
1.833167	0.25	-111.912604
1.837333	0.25	-112.180354
1.841500	0.25	-112.398319
1.845667	0.25	-112.588852
1.849833	0.25	-112.744339
1.854000	0.25	-112.889472
1.858167	0.25	-113.011119
1.862333	0.25	-113.118796
1.866500	0.25	-113.213708
1.870667	0.25	-113.299989
1.874833	0.25	-113.382630
1.879000	0.25	-113.458997
1.883167	0.25	-113.513054
1.887333	0.25	-113.589316
1.891500	0.25	-113.648250
1.895667	0.25	-113.701623
1.899833	0.25	-113.756111
1.904000	0.25	-113.808986
1.908167	0.25	-113.858697
1.912333	0.25	-113.901192
1.916500	0.25	-113.942786
1.920667	0.25	-113.978572
1.924833	0.25	-114.018580
1.929000	0.25	-114.054481
1.933167	0.25	-114.080678
1.937333	0.25	-114.109560
1.941500	0.25	-114.125993
1.945667	0.25	-114.145195
1.949833	0.25	-114.178330
1.954000	0.25	-114.197328
1.958167	0.25	-114.218321
1.962333	0.25	-114.229841
1.966500	0.25	-114.250786
1.970667	0.25	-114.263941
1.974833	0.25	-114.271723
1.979000	0.25	-114.284457
1.983167	0.25	-114.284358
1.987333	0.25	-114.297518
1.991500	0.25	-114.302727
1.995667	0.25	-114.311813
1.999833	0.25	-114.321432
2.004000	0.25	-114.318601
2.008167	0.25	-114.324420
2.012333	0.25	-114.345372
2.016500	0.25	-114.345108
2.020667	0.25	-114.346597
2.024833	0.25	-114.351771
2.029000	0.25	-114.355909
2.033167	0.25	-114.370187
2.037333	0.25	-114.370298
2.041500	0.25	-114.389379
2.045667	0.25	-114.380705
2.049833	0.25	-114.386731
2.054000	0.25	-114.395553
2.058167	0.25	-114.400707
2.062333	0.25	-114.411212
2.066500	0.25	-114.412791
2.070667	0.25	-114.420517
2.074833	0.25	-114.413636
2.079000	0.25	-114.410872
2.083167	0.25	-114.417775
2.087333	0.25	-114.421343
2.091500	0.25	-114.414668
2.095667	0.25	-114.415367
2.099833	0.25	-114.413559
2.104000	0.25	-114.408228
2.108167	0.25	-114.402884
2.112333	0.25	-114.406496
2.116500	0.25	-114.392887
2.120667	0.25	-114.382558
2.124833	0.25	-114.384453
2.129000	0.25	-114.379137
2.133167	0.25	-114.373153
2.137333	0.25	-114.361918
2.141500	0.25	-114.354897
2.145667	0.25	-114.349952
