File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/976.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_60
Injection Number	59
Position	RE10
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	06:05:17
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.861663
Signal Max.	16.489558
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.587333	0.25	-111.930927
1.591500	0.25	-111.930201
1.595667	0.25	-111.925564
1.599833	0.25	-111.926508
1.604000	0.25	-111.927074
1.608167	0.25	-111.915103
1.612333	0.25	-111.874904
1.616500	0.25	-111.816800
1.620667	0.25	-111.701160
1.624833	0.25	-111.471857
1.629000	0.25	-111.024635
1.633167	0.25	-110.210264
1.637333	0.25	-108.794015
1.641500	0.25	-106.437784
1.645667	0.25	-102.815540
1.649833	0.25	-97.608194
1.654000	0.25	-90.607334
1.658167	0.25	-81.749508
1.662333	0.25	-71.168520
1.666500	0.25	-59.170381
1.670667	0.25	-46.274254
1.674833	0.25	-33.111077
1.679000	0.25	-20.368394
1.683167	0.25	-8.755876
1.687333	0.25	1.121284
1.691500	0.25	8.768599
1.695667	0.25	13.936881
1.699833	0.25	16.489558
1.704000	0.25	16.488040
1.708167	0.25	14.132685
1.712333	0.25	9.761257
1.716500	0.25	3.748377
1.720667	0.25	-3.513731
1.724833	0.25	-11.608695
1.729000	0.25	-20.196884
1.733167	0.25	-28.912560
1.737333	0.25	-37.516830
1.741500	0.25	-45.777778
1.745667	0.25	-53.555882
1.749833	0.25	-60.758315
1.754000	0.25	-67.314995
